id_loai_dv;ten_loai_dv
d6e579ff-9e12-4aac-8220-c5e7039b4469;idolize
3ed80cf4-b6cc-4a09-bbdb-a69628db3d4f;that
872c99c7-678b-4676-a4a8-77c3436fc469;gleefully
68e5b114-9237-4ad7-acfb-12addaff224a;swift inside
c046c7c5-0bdb-4df5-9c0a-e2735ea93040;fiercely
d6a539f0-cfa7-4e02-9e43-7d8221372ede;mutt astonishing
8b7a86b4-4686-4057-ab94-84411e3e01fb;readily cravat
56181be0-aff5-4774-b850-a2d73d29a67b;boring
dfc07fc3-14c2-460d-8ce2-9f1cd2ac7985;detection outlying mid
c1abc8e3-dfcb-4ab5-80d7-909ac35dff52;strange
