id_nhiem_vu;ten_nhiem_vu
4ffbf59c-d1dd-4cdb-8dec-2a709b030b1f;potato unless within
f42a4bc4-a1c5-4b34-9736-3cb1b5304c09;headline developer tough
42ab7668-c37f-41b4-91d3-5bc02afe6512;govern why ew
6e220a8f-3700-4efb-9fac-4d6d44786951;acrobatic angrily
ba2128df-542d-485c-af7e-152d67c71e9e;whoa ew amid
af85e208-1532-448a-9934-5d0b1a573c05;switching irritating
8d78c930-6dd6-49be-afd6-0ee8c2203f91;silver
ae401b6e-a6b3-480f-a07b-b36de78a1897;harmonious silently
3b83c050-4b51-4657-94ae-5e71feeaba3c;poor
b3b94496-8ead-4306-8ab3-3e6028a4050f;whose
