id_cau_hinh;noi_dung;javascript;css;id_loai_ds;id_don_vi;trang_thai
1;voluntarily squat;blah twilight;ah hopeful;401;31408;0
2;alongside innocently;convict;healthy;1824;18720;1
3;expert helplessly morph;gah;forked after;27435;12849;0
4;blah qua;director;downright disperse;28682;20411;0
5;assimilate yippee comportment;against tomorrow disastrous;aha;16307;29307;1
6;at secularise;after awful tragic;soulful regularly joyously;5219;24091;1
7;wherever unfolded;overcooked eyeball modulo;feisty though;3704;9420;0
8;certainly;budget photocopy;apropos scarcely;27156;12219;0
9;outside meanwhile vitamin;caution mammoth or;extremely drat difficult;14790;13536;1
10;sensitize;sorrowful;mole poise klutzy;27196;20054;0
