id;id_doi_tuong;ngay_thao_tac;loai_doi_tuong;so_hs_cv;so_cc;so_vao_so;mo_ta;ngay_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;trang_thai;nguoi_thao_tac;loai_ngan_chan;ngay_cong_van
1;5716;2024-09-02;29605;rotating;viciously;the;eddy;2024-09-02;2024-09-02;2024-09-02;19884;7426;13645;2024-09-02
2;13238;2024-09-01;3570;amongst;structure;quarrelsome insistent;gee gee that;2024-09-01;2024-09-01;2024-09-02;1673;20925;4599;2024-09-02
3;31964;2024-09-02;8027;er pamper haunting;likely what concerning;duh;unfold properly what;2024-09-02;2024-09-01;2024-09-01;30449;1486;24041;2024-09-01
4;5426;2024-09-01;13232;gleefully horrible;astride unconscious worried;above indelible fantastic;eaves wherever;2024-09-01;2024-09-02;2024-09-01;20942;12864;7423;2024-09-02
5;3137;2024-09-02;5349;joy since;retreat instead luxury;aw;below;2024-09-01;2024-09-02;2024-09-01;405;1916;10;2024-09-02
6;6242;2024-09-02;20202;between to;nor;ha how how;offensively barring tablecloth;2024-09-02;2024-09-02;2024-09-01;19654;5007;5578;2024-09-02
7;26533;2024-09-01;17589;with;sting;rightfully nor verbally;times;2024-09-02;2024-09-02;2024-09-02;15042;27637;6987;2024-09-01
8;18477;2024-09-02;14333;yahoo;acclaimed though attest;yuck;calm;2024-09-02;2024-09-01;2024-09-01;16905;31636;162;2024-09-02
9;23039;2024-09-01;6765;before prestigious chino;circa anxiously poleaxe;robust;quirkily;2024-09-01;2024-09-02;2024-09-01;11553;32642;32340;2024-09-01
10;25021;2024-09-01;29228;putrid dally;blah;droopy poised hungrily;meh deeply;2024-09-02;2024-09-01;2024-09-02;3949;15413;28240;2024-09-01
