id;id_doi_tuong;ngay_thao_tac;loai_doi_tuong;so_hs_cv;so_cc;so_vao_so;mo_ta;ngay_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;trang_thai;nguoi_thao_tac;loai_ngan_chan;ngay_cong_van
1;18436;2024-09-28;1188;surprisingly boohoo;yet progression;free;fairly zowie;2024-09-28;2024-09-29;2024-09-29;32154;1288;21380;2024-09-29
2;483;2024-09-29;2157;frightfully throughout;candid whereas chlorinate;neatly;warmly supposing pathology;2024-09-28;2024-09-29;2024-09-28;22567;26069;19985;2024-09-29
3;18385;2024-09-29;22284;that vigilant;modernise practical yuck;over;righteously;2024-09-29;2024-09-29;2024-09-29;11622;4812;7442;2024-09-28
4;26292;2024-09-29;12754;good overconfidently;substantial uh-huh;brick suddenly or;meh unusual;2024-09-28;2024-09-29;2024-09-28;26854;19789;27643;2024-09-28
5;29964;2024-09-28;22723;hm;woot;organise whoever;zowie;2024-09-29;2024-09-28;2024-09-28;7680;28994;25137;2024-09-28
6;20437;2024-09-28;27602;unnecessarily expression;round yippee inversion;that;kitsch but gosh;2024-09-28;2024-09-29;2024-09-28;15531;26622;10060;2024-09-28
7;15573;2024-09-28;9279;doting meh frosty;pop;hydrolyze apud working;somersault admired;2024-09-28;2024-09-28;2024-09-29;25094;23328;1176;2024-09-28
8;24247;2024-09-29;6598;man jolly oh;joshingly;athwart;boo regard;2024-09-29;2024-09-29;2024-09-28;29000;5460;5312;2024-09-29
9;10308;2024-09-29;26689;even because ew;powerfully analytics;dense despite apud;beyond too;2024-09-28;2024-09-28;2024-09-28;27958;104;4244;2024-09-28
10;28285;2024-09-28;23758;tenderly meanwhile;likewise;inventor corner whereas;next;2024-09-29;2024-09-29;2024-09-29;32654;17008;19533;2024-09-29
