id_ngan_chan;ngay_thao_tac;so_hs_cv;so_cc;so_vao_so;mo_ta;ngay_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;trang_thai;nguoi_thao_tac;loai_ngan_chan;ngay_cong_van
1;2024-09-28;ew midst utter;dwell transfix;incomparable;mostly cenotaph hence;2024-09-28;2024-09-28;2024-09-28;8799;4042;23518;2024-09-28
2;2024-09-28;ozone even disguised;warped refreshments who;yieldingly;cent drat ill-fated;2024-09-28;2024-09-28;2024-09-28;2144;7714;26543;2024-09-28
3;2024-09-28;until symptomize;maize utilized;while;until;2024-09-28;2024-09-28;2024-09-28;11930;22251;13747;2024-09-29
4;2024-09-28;acidly alongside;qua wonderfully till;or;dimly dioxide amazon;2024-09-29;2024-09-29;2024-09-29;25423;9642;11323;2024-09-29
5;2024-09-28;phooey evict beside;impala;modernity;ack heartbeat several;2024-09-28;2024-09-28;2024-09-28;1842;10605;5536;2024-09-28
6;2024-09-28;if;converse;lest behind;wavy amidst apud;2024-09-28;2024-09-28;2024-09-28;2261;7675;17475;2024-09-29
7;2024-09-28;striking jumpy board;triple;into;aha at;2024-09-28;2024-09-28;2024-09-29;11448;908;2596;2024-09-28
8;2024-09-28;jaggedly;lever wriggler;fog of gadzooks;weary;2024-09-28;2024-09-29;2024-09-28;18201;29224;18706;2024-09-29
9;2024-09-28;corkscrew;given mockingly kindheartedly;trainer whimsical;yuck jubilantly;2024-09-29;2024-09-28;2024-09-28;24217;5709;20191;2024-09-28
10;2024-09-28;before bush;auction proper revitalise;turbulent;hm neuropsychiatry;2024-09-29;2024-09-28;2024-09-29;22561;27524;22259;2024-09-29
