id;ten_tai_san;trang_thai;ghi_chu;ngay_thao_tac;nguoi_thao_tac;id_duong_su;id_ts_goc;ma_tai_san;id_loai_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;id_master;str_search;id_don_vi;so_hs_cv;so_cc;so_vao_so;mo_ta;loai_ngan_chan;ma_xa
1;following amongst hour;5390;hollow;2024-09-26;24196;25068;10428;snowplow zany questionably;22716;2024-09-25;2024-09-26;6930;mediocre gratefully;15796;9733;2975;31923;curriculum;2255;beneath cone yum
2;pfft;1438;crazy afterwards after;2024-09-25;5949;18236;7910;enchanting;11671;2024-09-26;2024-09-25;8879;keenly lighthearted;2287;7926;23860;3439;mentor;15772;if
3;after until sequence;18253;seldom fight;2024-09-25;21903;29023;25466;boo;29636;2024-09-25;2024-09-26;31564;revoke;3693;6513;5327;2253;yowza;24311;census
4;good-natured gorgeous;21188;hmph zowie;2024-09-25;31206;1720;22870;modern;10776;2024-09-26;2024-09-26;5118;yesterday but;21336;10409;23000;2462;as ugh;7252;quiz deserted
5;so;29529;oof atop;2024-09-25;21469;6717;12929;thesis;11704;2024-09-26;2024-09-25;2130;overrate between tenderly;12284;19730;15312;11487;gadzooks keenly;29826;shop
6;unethically;1200;worried iridescence;2024-09-25;24715;27164;10361;deregulate what onto;14752;2024-09-25;2024-09-26;4286;furthermore regularly;25488;16429;27729;11080;what geez;4216;nervously pish worth
7;swath boohoo;2088;during whoever;2024-09-25;17886;19971;30714;forearm whole;19681;2024-09-25;2024-09-26;16706;unblinking eek whether;3301;27438;9778;10456;brr;1912;though meh
8;unethically;31628;considering whether;2024-09-26;691;17545;29913;strong ick oof;26401;2024-09-25;2024-09-26;25560;gah detour;20066;23368;19076;884;inwardly pailful;10273;vast complicated valiantly
9;oof;28872;unhealthy;2024-09-25;26532;20501;20087;boohoo oh;25557;2024-09-25;2024-09-26;10733;towards;16194;14401;9425;20073;strange before;25102;oval
10;bogus;28027;so deceivingly;2024-09-26;8317;16137;2873;now jaggedly;9278;2024-09-26;2024-09-26;1697;breakable;21224;19121;1652;16044;scene regarding;18631;for
