id_tai_san;ten_tai_san;trang_thai;thong_tin_ts;ghi_chu;ngay_thao_tac;nguoi_thao_tac;id_duong_su;id_ts_goc;ma_tai_san;id_loai_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;id_master;str_search;id_don_vi;so_hs_cv;so_cc;so_vao_so;mo_ta;loai_ngan_chan
1;mechanically carelessly;1405;inside;eek stint proud;2024-09-25;18682;407;23652;organization realistic;21785;2024-09-26;2024-09-26;7355;fooey though rustle;1980;22055;7160;9184;upload;16378
2;ray geez till;1515;boo defeat as;accidentally;2024-09-26;12219;415;27341;plus;9721;2024-09-26;2024-09-25;26793;apud blissfully wrong;23324;25379;28895;1459;cluster;27211
3;exotic zowie till;29212;versus;nervously oasis;2024-09-26;8077;1584;26563;slow without matriculate;12316;2024-09-26;2024-09-26;19616;spokesman after;4571;9676;7276;7474;since brr step;23394
4;because;31799;baseline;foresee;2024-09-26;21804;20014;26403;proximity until reward;1160;2024-09-26;2024-09-26;19720;forbid after cannulate;29210;13917;3251;27478;if;12440
5;factory along misunderstand;4956;founding bustling;polished annually breakable;2024-09-26;10196;15250;7639;hence gosh verbally;5637;2024-09-25;2024-09-26;14898;tedious frantically upward;12279;12833;16564;4717;hm;3094
6;apprehension vapid acidly;32128;boo broadly;stammer;2024-09-26;16006;12587;14131;offset pfft;18;2024-09-25;2024-09-26;18971;powerfully aha gruesome;787;21425;19100;25897;to;2213
7;equal potential;23263;even headbutt before;and kissingly absolve;2024-09-26;22281;14475;7277;levitate for;27997;2024-09-26;2024-09-25;11417;pleasant blushing;29188;29997;5529;12171;brr down;25947
8;basketball;2174;whittle chassis;befriend crossly furthermore;2024-09-25;1123;3440;2231;lively;663;2024-09-26;2024-09-26;10524;without wholly but;4460;15622;28964;23389;artistic uh-huh hence;28850
9;yahoo yuck ruddy;22361;zoologist who acidly;huzzah geez;2024-09-25;30127;5007;6368;beyond scarcely rudely;16912;2024-09-26;2024-09-25;27955;youthful yum jubilantly;8936;31539;1748;11344;iron;18703
10;pfft till;17037;for nearer;misdirect intensely;2024-09-26;31072;11219;31070;till unfinished;14675;2024-09-26;2024-09-26;4326;as which yummy;11783;22125;30083;15662;hole toward decision;24340
