id_tai_san;ten_tai_san;trang_thai;thong_tin_ts;ghi_chu;ngay_thao_tac;nguoi_thao_tac;id_duong_su;id_ts_goc;ma_tai_san;id_loai_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;id_master;str_search;id_don_vi;so_hs_cv;so_cc;so_vao_so;mo_ta;loai_ngan_chan;sync_status
1;ratio below obnoxiously;10344;../fake-data/blob/hipster.txt;mmm beneath drag;2024-09-25;23978;2794;26950;frail vibrant;26764;2024-09-26;2024-09-26;28120;commonly;29420;22565;17461;23244;muted polarisation countermand;12360;23220
2;off;24722;../fake-data/blob/hipster.txt;speedily;2024-09-26;19799;30465;30285;which;6362;2024-09-26;2024-09-26;21288;hyacinth privilege eek;16603;27894;26478;28475;energetically since lest;1840;32487
3;marble;4387;../fake-data/blob/hipster.txt;sip;2024-09-26;22365;15623;21014;lurch to;17303;2024-09-26;2024-09-26;30241;behind;1707;10925;1633;17750;jailhouse;18253;18983
4;joyfully lot now;12354;../fake-data/blob/hipster.txt;till everlasting miaow;2024-09-25;32040;19173;1396;so during;4856;2024-09-25;2024-09-26;19505;zowie;6485;3125;4822;25050;nutrition among integration;16422;28424
5;vital;16268;../fake-data/blob/hipster.txt;masculine cohort blue;2024-09-25;10670;14711;10409;know-how;12392;2024-09-25;2024-09-26;30903;optimistically;10470;10521;12011;11312;consequently;18587;21246
6;um;31572;../fake-data/blob/hipster.txt;loop unabashedly;2024-09-25;27587;3191;11247;what indeed slime;13525;2024-09-26;2024-09-25;31305;brim um;3882;8811;21024;6475;gah lined;3678;10600
7;eventually mid;20956;../fake-data/blob/hipster.txt;pioneer;2024-09-26;5496;18097;4347;stereo why dusk;15741;2024-09-25;2024-09-26;6444;round and minus;13244;19725;30740;2787;size;26058;30869
8;promptly salsa than;10478;../fake-data/blob/hipster.txt;taut brilliant;2024-09-26;20329;28907;8895;before wildly even;17450;2024-09-26;2024-09-25;26887;ha knock membership;27117;16622;12389;4595;oh palpitate;29951;2603
9;shakily unequaled styling;8227;../fake-data/blob/hipster.txt;after;2024-09-25;21375;2506;23341;mobilise yet;10686;2024-09-26;2024-09-25;1547;absent owlishly hmph;12860;8940;4256;24177;mmm arrogantly bah;3293;8426
10;meanwhile bowling;29118;../fake-data/blob/hipster.txt;a defensive;2024-09-25;546;6622;3604;noteworthy;8369;2024-09-26;2024-09-26;15341;coke;24231;374;7815;31889;degenerate aha wiretap;31470;26588
