id;ten_tai_san;trang_thai;thong_tin_ts;ghi_chu;ngay_thao_tac;nguoi_thao_tac;id_duong_su;id_ts_goc;ma_tai_san;id_loai_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;id_master;str_search;id_don_vi;so_hs_cv;so_cc;so_vao_so;mo_ta;loai_ngan_chan
1;knowledge;18079;which;elongate idealise simplify;2024-09-26;2993;30632;17606;concerning produce geez;10601;2024-09-26;2024-09-26;30416;regarding gratitude jaggedly;7106;3857;6199;28502;backdate worthless;22886
2;wherever;24452;forked;but;2024-09-25;28754;29245;23257;vengeful;8419;2024-09-25;2024-09-26;411;immense snarling;31744;10770;31981;22798;sidle;3082
3;livid;23613;jaggedly qua mellow;accidentally longingly blend;2024-09-26;13582;14726;18325;that elaborate;30988;2024-09-25;2024-09-26;18518;dead of baggie;19550;29283;8199;7162;hypothermia questioningly yellowish;8057
4;um;13910;zowie versus forenenst;diving;2024-09-25;14007;6680;27840;concerning uselessly;31643;2024-09-26;2024-09-26;32035;inside condemn phooey;1789;10465;5855;25321;glasses hovel;18564
5;er hassock;16723;greedily humour wiggly;overdevelop notarize;2024-09-26;4181;17976;14382;headlight why;15475;2024-09-26;2024-09-26;5012;which;29548;27584;11296;6173;amongst;24057
6;angrily valet joshingly;32498;tease boss;content;2024-09-26;22360;13198;2593;mandate;13077;2024-09-25;2024-09-25;7028;obfuscate softdrink miserably;5961;5018;14828;15070;lest;11219
7;creepy;15935;opposite stylish hmph;qua modulo;2024-09-26;1846;21210;18366;unload duh whether;29666;2024-09-25;2024-09-25;25179;interfere whereas;2032;30918;2498;2248;open quizzical;10434
8;selfishly;10697;squeal behind morphology;citizenship;2024-09-25;9476;7582;14463;squander;27735;2024-09-26;2024-09-26;6716;equally sparse;699;30286;11288;31980;reboot boo robe;19177
9;onto;22278;relay seemingly;circa midst mockingly;2024-09-25;10897;4764;28629;beside coolly when;6002;2024-09-26;2024-09-26;15319;spreadsheet happy within;27522;15397;5518;9279;stumble;28256
10;plonk;1119;sweatshirt;for notwithstanding lace;2024-09-25;1496;6700;14893;remedy whenever geez;23048;2024-09-26;2024-09-25;9988;ick psst to;25082;29263;9919;29705;as harrow;1364
