id;ten_tai_san;trang_thai;thong_tin_ts;ghi_chu;ngay_thao_tac;nguoi_thao_tac;id_duong_su;id_ts_goc;ma_tai_san;id_loai_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;id_master;str_search;id_don_vi;so_hs_cv;so_cc;so_vao_so;mo_ta
1;whoa obfuscate;22380;idolized ah adventurously;pfft qua;2024-09-25;22416;1961;6651;sinful;23401;2024-09-26;2024-09-25;16273;into bat where;11945;13572;18025;21630;coordinated
2;seriously unruly other;628;hoof once smart;innocently phooey;2024-09-26;25375;27444;140;optimistic very until;16711;2024-09-26;2024-09-26;7144;fondly oddly;11248;2043;15418;9907;longboat
3;plowman;11306;why gah;gee justly;2024-09-26;4968;1478;4221;about;28225;2024-09-26;2024-09-26;13525;low;6444;7471;30050;21282;foot drat however
4;absolute;8508;ack however calibrate;doll snoop;2024-09-26;25866;16793;21910;developmental unaccountably;1823;2024-09-25;2024-09-26;15848;tart or;31695;1871;20523;13551;ew spry
5;along discretion teenager;24117;valiantly um;salary onto hm;2024-09-26;30003;6125;19872;bolt seldom;5365;2024-09-26;2024-09-26;29620;incriminate catalogue;7917;7862;18569;19814;bond who
6;bite-sized;381;loudly gossip phew;mixture annually wren;2024-09-26;14;20418;6321;notwithstanding physically maize;6063;2024-09-25;2024-09-26;26097;mmm though;2931;6881;17362;29544;less calm to
7;sneaky ugh urban;15971;without;since;2024-09-26;4045;15023;8997;furthermore obnoxiously;11824;2024-09-26;2024-09-25;9653;oof;31132;10589;5054;23996;oof denim
8;as fervently;30374;per calm subpoena;jaggedly;2024-09-25;14234;23364;13729;owe;11311;2024-09-26;2024-09-26;31080;derive jovially;10809;1568;9996;27012;meaningfully absentmindedly nifty
9;oof;29010;burgeon gah though;disregard;2024-09-25;9820;20180;5176;unless;11895;2024-09-25;2024-09-25;29076;mmm;20634;5816;29060;13665;meanwhile fairly
10;dart;3293;jovially;wherever solidly;2024-09-25;16016;16655;19778;far meaningfully;29780;2024-09-25;2024-09-26;3134;successfully mysteriously;11888;7547;22176;18283;because
