id_cap_nhat;ten_tai_san;thong_tin_tai_san;ngay_cap_nhat
1;ah which infest;../fake-data/blob/hipster.txt;2024-09-27
2;relent;../fake-data/blob/hipster.txt;2024-09-27
3;elastic unloosen following;../fake-data/blob/hipster.txt;2024-09-27
4;over souvenir;../fake-data/blob/hipster.txt;2024-09-27
5;fully given crossly;../fake-data/blob/hipster.txt;2024-09-28
6;phooey vainly;../fake-data/blob/hipster.txt;2024-09-27
7;orangutan indeed suburban;../fake-data/blob/hipster.txt;2024-09-27
8;considering even spinach;../fake-data/blob/hipster.txt;2024-09-28
9;oof along;../fake-data/blob/hipster.txt;2024-09-27
10;yesterday;../fake-data/blob/hipster.txt;2024-09-27
